attrib1,attrib2,attrib3,attrib4, attrib5, attrib6, attrib7, attrib8, attrib9, attrib10,Label
0.0258,0.0087,0.0169,0.1297,0.6857,0.1656,0.0178,-0.0113,0.0794,0.1734,1
0.1079,0.0913,32,0.5523,0.1893,0.4985,0.0465,0.0935,0.1322,0.2152,0
-0.0331,0.0562,0.0504,0.1516,498,0.0404,0.1797,0.1976,0.15,0.1428,1
187,0.1019,0.1301,0.1845,0.2344,0.1333,17,0.1067,0.1338,0.2332,0
0.1825,0.1457,0.0161,0.4138,0.3223,128,0.0518,0.0404,0.2744,668,1
0.1087,0.0739,0.0106,0.2792,0.4347,0.1578,0.1257,0.0278,-0.0196,0.1701,1
0.1018,0.0644,0.0172,0.2304,0.2497,0.0919,84,0.0375,-0.0141,0.1603,1
0.1799,0.1283,0.0673,0.1314,0.2682,0.1576,0.0624,0.1325,0.1549,0.2677,0
0.0445,0.0565,0.0072,0.1139,0.4267,0.0027,0.0141,0.0599,0.27,0.1739,1
0.1915,0.1444,0.0328,0.2573,0.3299,142,0.0088,0.0526,0.2188,0.5588,1
0.1635,0.1309,0.0283,0.4153,469,0.1291,0.0199,0.0668,0.2016,0.5691,1
0.0485,0.0718,0.1161,0.1646,465,0.0496,0.1515,0.1364,188,0.2436,1
0.1474,0.1053,0.0808,0.1285,0.2194,0.1351,0.0587,98,0.1531,0.2469,0
0.0857,0.0454,0.0085,218,0.5226,0.1354,0.1452,0.0544,-0.0138,0.1838,1
0.1123,0.0929,0.0386,0.1385,0.2019,0.1265,0.0262,0.1191,0.1312,0.2358,0
0.0572,-0.0093,-0.0277,0.0854,0.5123,-0.0058,0.0188,-0.0707,0.0759,0.1898,1
0.1728,0.1288,0.0256,0.2338,0.3041,0.1423,0.0415,0.0745,0.4212,0.5469,1
0.0641,0.0689,0.0143,0.2444,0.2149,0.0768,0.0801,0.0286,-23,0.1413,1
129,0.0911,0.0533,0.1127,0.2268,0.1365,0.0732,0.0877,0.0884,0.2187,0
0.2396,-0.0277,0.0362,139,0.5159,-0.0058,0.0763,-0.0775,77,0.1215,1
0.2013,0.1555,0.0275,0.2417,0.2946,0.1312,0.0104,0.0658,0.3644,453,1
0.0767,0.0787,0.0116,0.2615,0.5474,0.1188,0.0861,0.0106,-0.0286,0.1561,1
0.2403,0.1027,0.0423,0.3974,0.5553,0.1032,0.0289,0.0811,0.2333,0.6894,1
0.0408,0.0288,-0.0016,0.1208,363,0.1691,0.0378,0.0254,0.1187,161,1
0.0699,0.0628,0.0235,0.2153,0.1872,0.1051,0.0553,0.0056,-0.0167,0.1923,1
0.1258,0.0932,0.0388,0.1224,0.2513,0.1238,0.0365,0.1093,0.1061,0.2414,0
-0.0257,0.0533,0.0124,0.0992,0.5035,0.4653,0.0526,-0.0187,0.0802,0.2422,1
0.0809,0.0742,0.0473,0.3301,0.2131,0.0628,0.0777,-0.0137,-0.0249,0.2564,1
0.2026,0.1771,0.0127,0.2808,278,0.1705,0.0648,0.0323,0.2254,0.3994,1
0.5504,0.0861,0.0299,0.1066,0.1922,0.1062,0.0078,0.0842,0.1116,0.2118,0
0.1503,0.0399,0.0528,0.3209,0.4086,119,0.0743,27,-0.0367,0.1952,1
0.2884,0.1077,0.0412,0.2589,0.2585,0.1111,0.0534,0.0882,0.2277,0.4519,1
0.1197,0.0842,0.0248,0.1269,0.2107,0.1008,-0.0037,0.0914,0.1153,0.2205,0
0.2971,0.0246,0.0248,0.1514,2057,0.2413,0.0043,-0.0232,0.0564,0.1805,1
0.0714,0.0586,0.0312,0.0897,264,0.0845,27,0.0821,123,0.1975,0
0.4137,0.0861,0.0222,0.3665,222,0.1534,0.0964,0.0069,5,0.1873,1
1.2346,0.1395,0.0544,0.7529,0.6327,207,0.0151,-0.0567,0.0783,0.2523,1
154,0.1602,0.0357,0.4132,0.6466,1.4535,0.1642,0.0763,0.6127,0.2725,1
0.4311,81,0.0573,0.2963,0.2141,76,0.1407,0.0431,-0.0072,0.1603,1
0.1179,0.0718,0.0185,0.1079,0.2416,0.0945,0.0344,0.1191,0.1826,0.2239,0
0.1588,0.1314,0.0301,0.2225,0.2761,0.1164,0.0257,0.0647,0.1924,0.4664,1
0.3019,0.0818,0.2036,0.2165,0.4189,0.0283,-0.0076,-0.0351,0.0709,0.2596,1
0.1548,157,-0.0019,0.2929,0.35,0.1483,0.0064,93,0.4782,0.3081,1
0.2552,0.1836,0.0802,226,421,0.0544,0.0916,-0.0414,0.0688,0.1505,1
0.1166,0.0634,0.0299,124,0.2175,0.1151,26,0.1083,0.1544,0.4477,0
0.0725,0.0496,-0.0011,0.2335,0.2461,99,0.1033,0.0383,-0.0043,0.1815,1
0.0013,0.0185,-0.0011,0.2861,0.5093,0.0043,0.0892,-0.0818,0.0715,0.1874,1
0.0667,0.0758,-0.0087,0.3525,0.2545,0.0766,0.0996,0.0354,-0.0177,0.1883,1
0.1042,0.0853,0.0375,0.1182,0.2086,0.1365,0.0302,0.1167,0.1346,287,0
0.1984,0.1563,0.0201,0.2692,0.2875,0.1146,-0.0013,0.0523,186,0.4923,1
0.0881,43,0.0159,0.2124,0.25,0.0982,0.0661,0.0146,-0.0172,0.1548,1
-0.0033,0.09,0.3162,0.4905,0.4779,-0.0043,0.0194,-0.0752,0.0767,0.2019,1
0.1522,0.1188,0.0211,0.5404,0.3893,0.1217,18,0.0842,0.2362,0.4749,1
0.1203,0.0681,0.0446,0.1201,0.2078,137,0.0777,0.0951,0.1029,0.2693,0
0.1121,0.1098,71,0.1544,0.2302,0.1159,0.0302,0.1072,0.1813,0.3044,0
0.1052,43,0.0225,0.1465,0.2775,0.1246,0.0608,0.0257,-0.0193,0.1371,1
0.1968,0.1349,0.0428,0.3069,0.3761,0.1386,0.0202,0.0402,0.2285,0.4567,1
0.4364,0.0156,0.0195,0.2661,638,0.0148,0.0141,-0.0477,0.0599,0.1162,1
74,0.0517,0.0343,0.3618,0.5136,-0.0135,0.0803,-0.0738,0.0752,0.0996,1
0.1226,0.0792,0.0462,0.1264,0.2075,0.1177,0.0326,0.1523,0.1549,0.2931,0
0.0939,0.0647,0.0151,0.2285,0.4168,0.2127,0.4173,0.0634,15,164,1
0.1931,0.1246,0.0473,0.3853,0.3083,0.1249,22,0.0766,0.2122,0.5839,1
0.1525,0.1702,0.0248,0.3407,0.7764,0.4115,0.0563,66,0.2217,0.3968,1
68,0.0467,-0.0029,0.1304,0.2231,0.0818,0.0597,41,-0.0315,0.1685,1
0.1448,0.1056,0.0657,0.5914,0.3088,132,0.0049,112,0.2053,0.2941,0
0.0498,0.0269,0.0348,0.1733,0.4819,0.0085,0.0149,-0.0446,0.0454,0.1623,1
0.1158,127,0.0705,266,0.7118,0.0983,0.0861,0.1666,0.1831,0.2411,0
0.1968,0.0863,0.0333,0.2082,0.2041,0.0618,0.0632,0.0428,-0.0204,0.2411,1
0.4148,0.1523,0.0359,0.2736,0.3152,0.1373,0.0056,0.0552,0.1895,0.3403,1
69,0.0251,0.0399,164,0.36,-0.0232,0.0742,-0.0865,0.0567,156,1
0.1556,0.0966,0.0449,0.3106,0.3006,0.1024,0.0959,0.0473,-0.0207,0.1756,1
0.1215,0.0095,0.0385,0.1493,0.5204,-0.0396,0.0236,-0.1005,0.0306,0.2217,1
0.1934,0.1388,0.0275,0.2483,0.3911,0.1188,-0.0055,0.0602,0.2,0.3633,1
0.1807,0.0977,0.1019,0.1517,0.3139,0.0993,0.0582,0.0911,0.1794,0.3329,0
0.1034,0.1122,0.0602,0.3415,0.1962,71,0.0521,0.0172,-0.0154,0.1696,1
0.2726,0.0952,0.2819,0.1595,0.4893,-9,0.0505,-0.0554,0.0894,0.1101,1
0.0989,0.0911,0.0839,0.1589,0.3946,0.1418,0.0304,0.1215,0.1325,0.1986,0
186,0.1684,0.0328,0.2494,0.3812,0.1164,0.0104,0.0816,0.1924,0.5248,1
0.1881,0.1834,0.0124,237,0.3505,0.1077,0.0093,61,218,0.4894,1
0.0749,0.0787,-0.0291,252,0.4972,0.1558,0.0618,0.0315,-0.0246,0.1862,1
0.1364,0.0911,0.0832,0.2586,265,0.1475,0.0373,0.1075,0.1623,0.2622,0
68,0.0446,-0.0153,0.0638,0.4035,-0.0765,0.0444,-0.0704,0.0327,0.1721,1
0.0918,161,0.0697,0.2808,222,0.1064,0.0518,0.0571,0.0206,0.2598,1
0.1749,0.1212,0.0565,0.1691,0.2041,0.1619,0.0246,0.0996,0.1554,0.2316,0
0.5309,0.1499,0.0399,0.3985,0.35,0.1177,0.0114,0.0798,0.1905,0.5501,1
73,-0.0045,66,0.2028,0.3587,-0.0153,-0.0324,-0.1129,0.0784,0.0943,1
0.0957,0.0808,0.0365,575,0.2548,0.0924,46,0.0441,-0.0077,0.2065,1
0.1881,0.1808,0.0069,0.2188,0.3624,104,0.0315,0.0808,0.2143,0.5131,1
0.0802,0.1177,0.0953,0.6449,0.9142,0.1642,0.0286,0.1199,0.4465,0.1968,0
0.0237,18,-0.0193,0.0986,0.3081,-38,0.0581,-0.0667,0.0572,0.1296,1
0.0809,-0.0014,0.3278,0.2249,432,0.0552,-0.0161,-0.0699,0.0604,0.1463,1
0.0944,0.0639,0.1164,0.1359,0.2801,0.3397,0.0951,0.0898,0.1752,0.2385,0
0.2021,0.2499,0.0966,0.3995,0.3458,0.1454,0.0196,0.0763,0.2301,0.3564,1
0.2701,0.0795,0.0618,0.3153,206,0.0536,0.0413,0.0296,-13,0.1727,1
105,0.5096,0.0631,0.2895,0.2366,0.0869,0.0611,0.0104,-0.0241,134,1
-7,0.0159,0.0417,0.1261,0.5858,0.0238,0.0196,-0.0628,0.0556,155,1
186,0.1631,0.0159,0.3475,0.2658,0.1238,0.0096,0.0571,0.1755,0.3791,1
0.1345,0.0911,0.0565,0.1892,0.3822,0.1309,0.0357,0.1032,0.1575,0.3123,0
0.1947,0.1547,0.0085,0.2488,0.3487,0.1468,0.0083,0.0365,0.2383,0.4488,1
0.1886,0.0768,0.0349,0.2248,0.2107,61,0.0624,0.0225,-0.0114,0.1611,1
0.0973,0.0934,0.0528,0.2562,0.2436,0.1378,0.0223,0.0916,0.1644,0.2714,0
-0.0054,0.0457,0.0591,0.1416,0.3234,-0.0557,0.0378,-0.0907,0.2397,0.1299,1
0.1052,0.0655,0.0293,0.2256,0.2294,0.0686,0.0869,0.0344,-0.0046,0.1799,1
0.1013,0.0679,0.0602,0.1092,0.2197,0.0971,0.0265,89,0.1475,0.2978,0
0.2643,0.1378,0.0349,0.2668,0.3315,0.1132,-0.0026,0.0703,0.1969,0.4134,1
0.0023,0.0385,0.0312,0.1508,0.3503,-0.0343,0.0186,-81,63,0.2074,1
124,0.1151,0.0296,0.1433,0.2036,0.0748,0.0458,0.0864,0.1689,0.2561,0
0.1693,0.1631,0.0188,0.2697,0.3059,0.1557,0.0178,0.0565,1.0368,0.4804,1
0.0881,0.0895,19,257,0.2989,137,0.0473,0.0288,0.0127,0.1458,1
0.0168,0.0509,0.9098,0.2895,0.4287,0.0201,0.0048,-0.0575,0.1179,0.2641,1
0.1327,0.0937,0.0679,0.2148,0.2753,0.1011,0.0365,0.0901,0.1567,0.2076,0
0.0751,0.0913,0.0417,0.3019,0.2471,0.0744,0.0489,0.0164,-0.0162,0.1411,1
177,0.2204,0.0225,0.2185,0.3795,0.1093,0.0112,0.0605,0.2351,0.3268,1
0.1431,0.0156,0.0678,0.1814,0.3595,0.0079,0.0067,-0.0554,0.0759,0.2459,1
0.1166,0.0929,0.0409,0.1393,0.2083,0.0805,0.0589,0.0236,-0.0201,0.1435,1
0.1664,0.1151,0.0401,0.3496,664,0.0676,0.0402,0.0354,0.2082,0.6287,1
0.4119,0.0824,0.0739,0.1425,0.2821,0.1175,0.0381,0.1391,0.1947,0.2047,0
0.3989,149,0.1029,0.1764,0.3788,0.0153,0.0212,-0.0448,0.0322,0.1621,1
0.0878,0.0507,0.0594,0.3069,0.2561,0.0745,0.0502,0.0328,0.0338,0.1342,1
0.2467,0.0723,0.1206,0.3663,0.6746,0.1626,0.1175,897,176,0.6562,0
0.1516,0.0828,0.0391,0.2584,484,0.1633,0.1454,0.1886,0.2743,0.1637,1
0.5522,0.2014,0.2684,1.7057,1.1184,0.2354,0.1249,0.1091,0.2399,0.5517,1
0.0788,0.0568,0.0014,0.8792,0.2497,0.1069,0.0283,0.0484,-0.0238,0.1321,1
0.2884,0.3275,0.07,0.2657,0.4574,0.1829,0.0629,0.3418,0.2225,0.7997,1
0.2583,0.0686,0.0787,156,0.3054,0.1698,0.0566,0.0993,143,0.2355,0
0.0838,0.0182,-0.0027,0.1769,0.4405,0.0438,0.0246,0.0075,0.3586,0.1829,1
0.0049,0.0222,0.0072,0.1485,0.4094,0.0565,0.0373,0.0473,0.2497,0.1402,1
0.0878,0.0539,0.0082,0.2544,0.2287,0.0668,0.0529,0.0336,-0.0177,0.1432,1
0.2139,0.2502,0.0481,0.1855,0.3901,0.1879,0.1439,0.1257,0.1327,0.2706,1
0.1799,0.1407,0.0378,0.1554,0.2664,0.1579,0.0257,0.1534,0.2752,0.2279,0
0.0532,0.1415,0.0388,0.1512,0.2564,0.1597,0.0289,151,0.1417,0.2049,0
11,0.0578,0.0214,0.0984,0.5692,0.1026,0.0826,0.0483,0.0857,0.3796,1
0.4691,0.2607,0.1417,0.2871,0.4199,0.1676,0.0806,0.0895,0.1805,0.4899,1
0.0941,0.0715,0.0066,0.2127,0.2413,0.1204,0.0558,0.0286,0.0066,0.1398,1
0.1593,0.2512,0.0446,0.2554,0.3376,0.1468,0.0801,0.1536,1.0497,0.2466,1
-0.0128,0.0048,0.0301,0.1595,0.3965,0.0172,-0.0023,0.0138,0.0762,0.1225,1
0.1778,137,46,123,0.2505,0.1466,0.0091,0.1378,0.1768,0.2622,0
0.0828,0.0879,0.0628,0.3713,0.2948,0.1125,0.0413,0.0346,-0.0048,0.13,1
0.0989,399,0.1254,0.2668,0.2324,165,0.0257,0.1075,0.1557,0.2503,0
0.0923,0.0578,28,0.1718,0.2123,0.08,0.0645,41,-0.0225,0.2305,1
0.1984,0.1995,0.0312,0.2119,0.3455,0.1679,0.0613,0.0616,0.1615,0.4393,1
0.0271,0.0567,0.0683,192,0.4047,0.0137,0.0048,-9,0.0538,0.1539,1
0.1583,0.0905,0.0481,0.1462,0.2384,0.1201,0.0051,0.1156,0.1351,0.2192,0
0.0682,0.2524,0.0422,0.3027,0.4405,0.0739,0.0565,-0.0219,0.0657,0.2486,1
0.4353,0.2613,0.0544,0.4156,0.5461,0.1592,0.0497,0.0982,0.1718,0.5147,1
0.1522,0.0723,0.0267,0.1823,0.2407,0.4441,0.0909,0.0455,-0.0135,0.13,1
0.0535,0.0546,0.0211,0.1524,0.3619,-0.0014,-0.0153,0.0069,0.0472,0.1051,1
0.1701,0.2243,0.0225,0.2095,0.3355,195,0.1001,0.0879,0.1538,0.4941,1
0.0757,0.0615,0.0109,0.2087,0.2661,94,0.0597,0.0164,-0.0064,0.1577,1
277,0.1035,0.0483,0.1438,0.2574,152,0.1305,0.3682,0.1251,0.2179,0
162,0.9988,0.0283,0.1483,0.2175,0.6041,0.0927,0.1135,0.1913,0.4448,0
0.2031,0.3486,113,0.2428,0.3556,0.1631,51,0.0821,0.2003,505,1
0.1509,0.0734,0.0219,0.1868,0.2558,113,0.0669,0.0489,-0.0291,0.1371,1
0.04,0.0575,0.0375,0.1482,0.3358,0.0348,-0.0132,0.0209,0.0696,0.1497,1
0.2219,0.2251,0.0325,0.2116,0.3136,0.1602,0.0471,0.0705,0.2045,0.5234,1
0.0049,0.0631,0.0232,105,0.3568,0.0127,0.0244,0.6409,0.0899,0.1336,1
96,61,0.0301,0.1689,0.2381,0.08,0.0671,0.0177,-0.0214,0.1894,1
0.2139,0.0837,0.0478,0.2243,0.1946,0.1375,0.0101,0.1059,0.1301,0.2287,0
0.0071,0.0101,-0.0074,0.2054,0.5882,0.1973,0.0083,-0.0132,0.0572,0.1162,1
0.0548,0.0744,0.0048,352,0.2221,0.0818,0.0737,74,-0.0312,0.1503,1
0.1028,0.1481,0.0528,0.1209,0.2125,0.1416,0.0595,0.1244,0.1583,0.2453,0
0.2166,0.1993,0.0338,0.2122,0.3294,0.1816,0.0447,0.0827,0.1697,0.6704,1
0.0638,0.0803,-14,0.1552,0.2273,76,0.0468,23,-0.0341,0.1329,1
0.1746,0.1974,0.0433,0.2473,0.3122,0.1898,0.0618,0.0819,0.1689,0.4168,1
0.1279,0.1861,0.0401,0.1319,0.2543,0.1542,0.0787,0.1135,0.1385,0.21,0
0.0674,0.0166,0.1701,0.14,0.4165,0.1047,0.0557,0.0816,53,0.1257,1
-0.0112,0.0921,0.3758,0.3048,0.5523,81,0.0244,-0.0269,0.0222,0.1426,1
0.1295,165,1.4725,0.3771,0.4039,0.1737,0.0357,0.0816,0.1354,0.2107,0
0.0714,0.0837,-0.0027,0.1451,0.2534,0.1148,0.0832,0.0418,-0.0196,0.1487,1
0.1762,0.2156,0.0227,0.2145,0.3242,0.1618,32,61,0.1744,0.4865,1
0.1372,0.1945,0.0351,0.1884,0.2951,0.1576,0.0336,0.0795,0.1726,405,1
0.0736,0.0787,0.0351,0.1998,0.3347,0.1132,0.0508,0.0328,-0.0397,0.1677,1
0.0667,0.2346,0.0378,0.1668,0.2178,0.1502,46,0.0885,0.1325,0.2189,0
2,0.0776,-0.0119,0.1522,0.4378,0.0388,-0.0124,0.0241,0.0752,0.2626,1
139,0.1256,0.0151,0.2853,0.2275,0.1156,0.0874,0.0452,-0.0254,0.1638,1
0.1696,189,0.0227,0.1731,0.2914,157,0.0521,0.0629,157,0.5781,1
69,9,-0.0119,0.1529,334,0.0164,-0.0113,0.1646,0.1166,131,1
0.1461,0.1143,0.0541,0.2383,264,194,0.1706,0.1009,0.1541,0.1917,0
0.1368,0.0565,-4,0.1746,0.3901,-0.0182,0.5373,0.0758,0.0833,0.1238,1
0.0556,0.1425,0.0335,0.1963,269,0.1645,0.0508,137,0.1443,0.2485,0
0.1839,0.1549,0.0251,195,0.3081,0.1702,0.0241,0.0937,0.1705,0.4957,1
0.0717,0.2048,0.0763,0.2008,0.2783,0.1,0.0494,0.0246,-0.0222,0.1593,1
0.1598,0.1829,0.0547,0.1676,0.2186,0.1265,0.0355,0.1238,0.1253,0.2432,0
0.1321,0.1684,0.0188,0.1739,0.3505,0.1555,0.0399,113,167,0.4044,1
0.0463,0.1812,-0.0483,0.1192,0.3677,0.0011,-0.0258,-0.02,0.0912,0.3285,1
0.0664,0.1074,47,0.1573,0.2307,0.0945,0.1064,0.0737,-0.0201,0.1661,1
0.0865,0.0705,0.0238,0.1715,0.2102,0.0784,0.0397,0.0272,-0.0415,0.1358,1
0.0941,0.1439,0.0233,0.1483,0.2046,0.1276,0.0228,0.1056,0.1626,0.2295,0
0.0635,0.0549,-0.0164,0.2104,0.3732,0.1699,0.3703,0.0227,0.0522,0.2731,1
0.1778,0.1948,0.0359,0.2069,0.3368,0.1185,0.0431,0.0457,0.1895,0.5361,1
0.1883,0.1824,0.0132,0.2451,0.3194,0.1549,0.0262,0.0972,0.1731,0.5725,1
-0.0036,-0.0014,-0.0066,0.1424,0.5871,-0.0425,0.0291,-0.1696,0.0235,103,1
0.0427,0.3763,0.0729,0.4259,0.2532,0.09,0.0315,37,-0.0304,0.1574,1
0.0841,0.1592,32,0.1678,0.2133,0.1107,0.0059,103,0.1312,0.1986,0
0.0699,0.1132,0.0821,0.9202,0.2075,132,0.0144,0.0864,0.1628,0.2189,0
-0.0073,0.0528,-0.0261,0.0939,0.3102,-0.0333,-0.0298,0.0713,0.0651,0.1072,1
0.0532,0.5312,0.0626,0.3301,0.2687,0.1151,0.0661,0.0418,-0.0447,0.1596,1
0.1825,0.1879,0.0259,0.4562,0.4556,0.1536,0.0531,0.0518,0.1707,0.3596,1
0.1129,0.1869,0.0425,0.1768,0.2207,0.1418,0.0365,0.1027,0.1377,0.1978,0
0.0086,38,-0.0491,111,0.3508,-0.0225,0.0325,-0.1675,0.0227,0.1099,1
0.0997,0.0977,0.0209,0.2921,0.3168,0.1735,69,0.0098,-0.0394,0.1485,1
0.1942,0.1818,0.0296,266,0.5076,0.1792,0.0349,0.0718,0.1792,753,1
0.0514,0.1032,-0.0072,0.1647,0.25,0.4191,0.1212,0.0304,-0.0262,0.1274,1
0.0941,0.1425,0.0272,0.1364,0.2007,0.1064,0.0246,0.1112,0.1285,0.2519,0
0.2498,0.1378,0.0375,0.2829,0.3846,0.1483,0.0173,0.0629,181,0.4905,1
-0.0257,24,-0.0586,0.0984,0.3922,-0.0475,0.0122,-0.1171,0.0269,0.1022,1
-21,0.0248,-0.0214,101,0.3469,-0.0066,-0.0153,-0.0865,0.0282,0.1027,1
0.0316,0.0927,0.0037,0.1399,0.2212,0.0964,0.0418,0.0193,-0.0259,0.1474,1
97,0.1304,0.0264,0.1195,0.2186,0.1127,0.0273,0.0858,0.1723,0.2078,0
0.1955,0.1578,0.0301,0.2451,0.3463,0.1254,46,0.0642,0.1845,0.6807,1
0.0342,0.0314,-0.0079,0.1255,0.4824,-4,0.0012,-0.1282,0.0295,89,1
0.0889,0.1449,0.0185,0.1391,0.2072,0.0726,0.0502,0.0687,0.1224,0.1888,0
0.2372,0.2072,0.0293,0.2483,0.3125,0.1592,0.0291,66,0.1966,0.5116,1
0.0627,0.1003,0.0407,0.1881,0.2606,0.0737,0.1162,0.0352,-0.0191,0.1696,1
0.1964,0.0834,-0.0159,0.1442,0.3086,0.0011,-0.0952,-0.0862,0.0156,0.0724,1
0.0583,133,0.0259,0.2248,0.2344,0.1127,0.0439,0.0251,-0.0428,0.6095,1
0.1482,0.1367,0.0243,0.3322,0.3558,0.1209,0.0423,0.0687,0.2151,0.4759,1
0.0714,0.1285,0.0159,0.1203,0.2093,0.1049,0.0297,0.0998,0.1106,0.2305,0
-0.0183,0.0383,-0.0156,0.1411,0.3332,-0.0045,-0.0343,-0.0923,0.0251,0.0703,1
0.1918,0.1365,0.0423,0.3824,0.3735,0.1383,0.0355,0.08,0.1924,0.4828,1
0.0889,0.1367,0.0594,0.2998,0.2841,0.0872,0.0658,0.0027,-0.0449,0.1274,1
0.0543,0.1383,14,0.1045,0.2049,0.1146,0.0257,0.0882,0.1108,0.1661,0
0.1857,0.1869,27,0.2705,0.3695,0.1541,0.0151,0.0544,0.2145,0.4071,1
0.1758,0.0422,-0.0314,0.1237,0.4115,0.5657,0.0056,0.0512,0.0095,0.1397,1
0.0799,0.1362,0.0077,0.1066,0.1943,0.1539,0.0344,0.2719,0.1338,0.1746,0
0.0466,166,0.1093,0.2758,0.3685,0.1813,0.0827,0.0209,-0.0291,0.1812,1
0.0604,0.0958,0.0383,228,0.2386,0.0935,0.0779,0.0172,-27,0.1516,1
182,0.1808,0.0204,0.3929,0.3622,0.1409,0.0286,85,0.1731,0.4145,1
0.0902,133,0.0143,0.1143,0.2072,0.0613,0.0413,0.0594,0.1129,0.2316,0
63,0.0119,-0.0356,144,0.3769,-0.0014,-0.0285,-0.1263,0.0385,0.1394,1
0.0759,0.1148,0.0275,0.1206,0.1872,0.0869,0.0394,0.0832,0.1953,0.3577,0
0.1783,0.1655,0.0259,0.2684,0.3447,0.1285,0.0363,0.0621,0.2153,0.4931,1
0.0656,0.0882,0.0235,0.1504,0.2291,0.0905,0.0336,0.0349,-32,0.1281,1
16,0.0557,-0.0412,0.0788,0.5958,4,0.0112,0.1261,0.0709,0.0846,1
0.4182,0.1877,0.0251,0.1863,0.2951,0.1338,0.0458,0.0536,0.1694,0.3693,1
-0.0189,0.1116,0.0032,0.15,0.3258,-0.0301,-0.0638,-0.1042,0.0435,0.0882,1
0.0664,0.0887,0.0401,0.1306,0.5015,0.1407,0.0621,0.0204,-0.0167,0.1276,1
0.0208,0.1235,0.0254,0.1264,0.1754,89,0.0302,0.0903,0.1327,0.1928,0
0.1366,0.1586,0.0312,0.2188,0.3049,0.1739,0.0463,0.0893,0.1773,0.4907,1
0.0464,0.1098,0.0401,0.1673,0.2218,0.1792,98,0.0209,-0.0294,0.1268,1
0.0873,0.1135,0.0196,0.1246,221,0.09,0.0341,0.0803,0.1193,0.1907,0
-0.0313,0.0559,0.0446,0.2695,0.4178,-0.0383,-0.0219,-0.1013,0.0256,0.0922,1
0.0427,0.1225,0.0644,0.5201,0.34,0.3661,0.0392,0.0568,-0.0407,0.1313,1
-22,0.0559,-0.0103,0.2874,0.3537,-0.0343,-0.0129,-0.1479,0.0475,137,1
0.1511,0.2024,0.0296,0.2082,0.2791,0.1842,0.0537,0.0745,0.1694,0.3332,1
0.1382,0.1314,0.0264,0.1195,0.2286,0.1061,0.0373,0.0895,0.1053,0.1912,0
0.0142,0.0309,-38,0.2052,0.3761,-0.0201,-0.0743,-0.0324,0.1205,0.1637,1
0.0912,127,0.0014,0.1362,0.1901,0.1001,0.0262,0.0901,0.1396,0.2366,0
0.1445,0.1842,0.0233,0.2905,0.3183,0.1557,32,0.0605,0.1755,0.3999,1
0.0554,0.0879,19,166,0.2244,0.1043,0.1049,0.0415,0.0013,0.1535,1
0.2984,0.0438,-0.0422,0.1218,0.3804,-0.0135,-0.1102,-0.1155,0.0158,0.1112,1
0.0459,0.0652,19,213,0.2753,0.1024,0.0357,0.0386,-0.0177,0.2329,1
0.0612,0.1486,0.0306,0.1253,0.2178,0.1223,0.0589,0.0758,0.1174,201,0
0.1744,0.1636,0.0436,0.4227,0.3004,0.1605,0.0429,0.0499,0.1926,0.4707,1
0.0717,138,0.0119,0.1174,0.2001,85,0.0415,0.0803,0.1182,0.2005,0
205,0.1687,0.0425,232,0.3128,0.1425,0.0576,0.0486,0.1905,0.5422,1
-0.0284,0.2237,0.0014,0.1598,0.3313,-0.0865,0.0138,-0.1598,29,0.1144,1
0.0554,0.1048,0.0388,0.3341,0.2407,0.1293,0.0468,0.0386,-0.0407,0.1395,1
-0.0265,0.0786,0.1084,0.1611,0.4927,0.0153,-0.0034,-82,0.2183,0.1555,1
0.0891,0.0586,0.0272,0.2465,0.2368,0.0903,31,0.0288,-0.0302,0.1347,1
77,0.1449,0.0346,0.1209,0.1861,0.0935,0.0413,98,0.11,0.1954,0
205,0.1694,0.0486,0.2143,0.3191,114,0.0487,0.0597,0.1947,0.3638,1
0.0332,0.1106,0.0259,0.4307,0.3593,0.1776,0.0566,0.0156,-3,0.1537,1
-0.0036,0.2548,0.0014,0.1382,0.3392,-0.0159,-0.0185,-0.1678,0.0433,0.1196,1
0.2543,0.1507,0.0193,0.1388,0.2151,0.0966,0.0867,0.0937,237,0.2464,0
0.1598,0.1578,0.0396,0.3098,0.3086,142,0.0244,0.0885,0.1847,0.4567,1
0.0707,0.1188,23,0.1377,0.1996,0.1314,0.2671,0.1093,0.1407,0.1854,0
0.1976,0.1605,0.0386,0.2586,0.3075,0.1518,0.0392,0.0668,0.2196,0.4361,1
0.0564,0.0858,0.0502,0.1607,0.2384,0.1109,65,0.0373,-0.0302,0.1577,1
0.3849,0.0857,-0.0552,0.1089,0.4953,0.1179,0.1309,0.0344,0.0868,0.1521,1
0.0807,0.1016,0.0272,0.1264,0.2085,0.1162,0.1099,131,0.1507,0.1896,0
0.1617,0.1336,0.0486,0.2417,0.3249,0.1504,0.0444,0.0642,0.1897,0.4799,1
0.0305,0.0895,0.0338,0.1583,0.2933,0.0971,0.0545,18,-0.0399,0.1403,1
-0.04,0.2463,0.0544,0.4132,0.3864,0.0538,0.1915,0.0818,0.0936,0.2256,1
0.0949,0.1077,0.0399,0.1085,0.1981,0.1447,0.0946,0.1325,0.1246,0.2028,0
0.2168,0.1507,0.0288,205,0.2975,0.1359,0.0529,0.0275,0.1816,0.3572,1
0.1535,0.0752,0.0415,0.1963,0.2336,0.0895,0.0534,8,-0.0534,0.1369,1
